ablatives	ablative:ablative_A s:+PL
panhandling	pan:pan_N handl:handle_V ing:+PCP1
pantheons	pantheon:pantheon_N s:+PL
paprika	paprika:paprika_N
paragon	paragon:paragon_N
parasols	parasol:parasol_N s:+PL
park	park:park_N, park:park_N
parliaments'	parliament:parliament_N s:+PL ':+GEN
patriot's	patriot:patriot_N 's:+GEN
pea	pea:pea_N
peel's	peel:peel_V 's:+GEN
pegged	pegg:peg_N ed:+PAST
pellet	pellet:pellet_N
penetrates	penetrate:penetrate_V s:+3SG
pensioner	pension:pension_N er:er_s
perceptibly	percept:perceive_V ib:ible_s ly:ly_s
perches'	perch:perch_N es:+PL ':+GEN
perforated	perforat:perforate_V ed:+PAST
personas	persona:persona_N s:+PL
pervading	pervad:pervade_V ing:+PCP1
pests'	pest:pest_N s:+PL ':+GEN
phaetons	phaeton:phaeton_N s:+PL
phi's	phi:phi_N 's:+GEN
photo's	photo:photo_p ~:graph_s 's:+GEN
photocopier	photo:photo_p copi:copy_V er:er_s
photogravure	photo:photo_p gravure:gravure_N
phrenologists	phrenolog:phrenology_N ist:ist_s s:+PL
physiognomy	physiognomy:physiognomy_N
pianolas	pianola:Pianola_N s:+PL
pianos	piano:piano_A s:+PL
picketed	picket:picket_N ed:+PAST
pieta	pieta:pieta_N
piglet	pig:pig_N let:let_s
pinkish	pink:pink_A ish:ish_s
pithiest	pith:pith_N i:y_s est:+SUP
pizza	pizza:pizza_N
placement	place:place_N ment:ment_s
plaice	plaice:plaice_N
plaids	plaid:plaid_N s:+PL
pled	pled:plead_V ~:+PAST
plenitude	plenitude:plenitude_N
plight	plight:plight_V, plight:plight_V
plopped	plopp:plop_N ed:+PAST
plucky	pluck:pluck_V y:y_s
plumbed	plumb:plumb_N ed:+PAST
plushest	plush:plush_N est:+SUP
polling-booth	polling:polling_V -:~ booth:booth_N
poops'	poop:poop_N s:+PL ':+GEN
poppycock	poppy:poppy_N cock:cock_N
porn's	porn:pornography_N 's:+GEN
poser	pos:pose_V er:er_s
pottages	pott:pot_N age:age_s s:+PL
powered	power:power_N ed:+PAST, power:power_N ed:ed_s
praises	praise:praise_V s:+PL, praise:praise_V s:+3SG, praises:praises_N
prearrangements	pre:pre_p arrange:arrange_V ment:ment_s s:+PL
precarious	precarious:precarious_A
precedes	precede:precede_V s:+3SG
predictions	predict:predict_V ion:ion_s s:+PL
predictor	predict:predict_V or:or_s
prefect's	prefect:prefect_N 's:+GEN
premises	premise:premise_N s:+PL, premise:premise_N s:+3SG, premises:premises_N
prepackaged	pre:pre_p pack:pack_N ag:age_s ed:+PAST
prepared	prepar:prepare_V ed:+PAST, prepared:prepared_V
presence	pres:present_A ence:ence_s
pressured	press:press_V ur:ure_s ed:+PAST
prevaricators	prevaricat:prevaricate_V or:or_s s:+PL
prevented	prevent:prevent_V ed:+PAST
primaries	prim:prime_A ari:ary_s es:+PL
prizefighters	prize:prize_N fight:fight_V er:er_s s:+PL
probabilities	probabil:probable_A iti:ity_s es:+PL
profaning	profan:profane_A ing:+PCP1
prognoses	prognoses:prognosis_N ~:+PL
projectionists'	project:project_V ion:ion_s ist:ist_s s:+PL ':+GEN
propagator	propagat:propagate_V or:or_s
prophesy	prophesy:prophesy_V
propjet	~:turbo_p prop:propel_V ~:er_s jet:jet_N
prorogation	prorog:prorogue_V ation:ation_s
proselytizes	proselyt:proselyte_N ize:ize_s s:+3SG
protestant's	protest:protest_V ant:ant_s 's:+GEN
proudest	proud:proud_A est:+SUP
provokingly	provoking:provoking_V ly:ly_s
psyche	psyche:psyche_N
psychiatrist's	psychiatr:psychiatry_N ist:ist_s 's:+GEN
puce's	puce:puce_N 's:+GEN
pugnacity	pugnac:pugnacious_A ity:ity_s
pulled	pull:pull_V ed:+PAST
pullman	pullman:Pullman_N
pulsed	puls:pulse_V ed:+PAST
punch	punch:Punch_N, punch:punch_V, punch:punch_V
punic	punic:Punic_A
punishment	punish:punish_V ment:ment_s
puns	pun:pun_V s:+PL, pun:pun_V s:+3SG
puritanism	pur:pure_A it:ity_s an:an_s ism:ism_N, pur:pure_A it:ity_s an:an_s ism:ism_s
purport	purport:purport_V, purport:purport_V
push-ups	push:push_V -:~ up:up_B s:+PL
quake's	quake:quake_V 's:+GEN
quangos	quango:quango_? s:+PL
quasar's	quas:quasi_p ar:stellar_A 's:+GEN
quieter	quiet:quiet_A er:+CMP
quinine's	quinine:quinine_N 's:+GEN
quixote	quixote:Quixote_N
rack's	rack:rack_N 's:+GEN
rail-car	rail:rail_V -:~ car:car_N
railway's	rail:rail_V way:way_N 's:+GEN
raisins	raisin:raisin_N s:+PL
rationalist	rational:rational_A ~:ism_s ist:ist_s, rational:rational_A ~:ism_s ist:ist_s
rationalization	rational:rational_A iz:ize_s ation:ation_s
ravine	ravine:ravine_N
realigned	re:re_p align:align_V ed:+PAST
realty's	real:real_A ty:ty_s 's:+GEN
rebinds	re:re_p bind:bind_V s:+3SG
rebuilding	re:re_p build:build_V ing:+PCP1
recommendations'	re:re_p commend:commend_V ation:ation_s s:+PL ':+GEN
reconciliations	re:re_p conciliat:conciliate_V ion:ion_s s:+PL, reconcili:reconcile_V ation:ation_s s:+PL
recount	re:re_p count:count_V, re:re_p count:count_V
recrudescence	recrudesc:recrudescent_A ence:ence_s
rectangles	rectangle:rectangle_N s:+PL
redressed	re:re_p dress:dress_N ed:+PAST
reek's	reek:reek_V 's:+GEN
reface	re:re_p face:face_N
referendum	referendum:referendum_N
regalia	regalia:regalia_N
region	region:region_N
relics	relic:relic_N s:+PL, relics:relics_N
reminder	re:re_p mind:mind_N er:er_s
reminds	re:re_p mind:mind_N s:+3SG
remorsefully	remorse:remorse_N ful:ful_s ly:ly_s
rentals'	rent:rent_V al:al_s s:+PL ':+GEN
repatriating	repatriat:repatriate_V ing:+PCP1
repealing	repeal:repeal_V ing:+PCP1
repellent	repell:repel_V ent:ent_s, repell:repel_V ent:ent_s
reposed	re:re_p pos:pose_V ed:+PAST
republics	republic:republic_N s:+PL
reruns'	re:re_p run:run_V s:+PL ':+GEN
reserved	reserv:reserve_V ed:+PAST, reserved:reserved_V
reshuffling	re:re_p shuffl:shuffle_V ing:+PCP1
resists	resist:resist_V s:+3SG
resonant	reson:resonate_V ant:ant_s
respecters	respect:respect_V er:er_s s:+PL
responsibilities	respons:respond_V ibil:ible_s iti:ity_s es:+PL
retook	re:re_p took:take_V ~:+PAST
returns'	re:re_p turn:turn_V s:+PL ':+GEN, returns:returns_N ':+GEN
revels'	revel:revel_V s:+PL ':+GEN
revere	revere:revere_V
revertible	revert:revert_to_V ible:ible_s
revivalist	reviv:revive_V al:al_s ist:ist_s
revoking	revok:revoke_V ing:+PCP1
revolt	revolt:revolt_V, revolt:revolt_V
ribald	ribald:ribald_A, ribald:ribald_A
ribaldry	ribald:ribald_A ry:ry_s
rigidity	rigid:rigid_A ity:ity_s
rigorous	rig:rigid_A or:our_s ous:ous_s
risings	rising:rising_V s:+PL
roadbeds	road:road_N bed:bed_N s:+PL
robin's	robin:robin_N 's:+GEN
rodeo's	rodeo:rodeo_N 's:+GEN
rods'	rod:rod_N s:+PL ':+GEN
roll-on	roll:roll_V -:~ on:on_P
roman's	rom:Rome_N an:an_s 's:+GEN
roughhouse	rough:rough_A house:house_N, rough:rough_A house:house_N
roused	rous:rouse_V ed:+PAST
ruffles	ruffle:ruffle_V s:+PL, ruffle:ruffle_V s:+3SG
ruinously	ruin:ruin_V ous:ous_s ly:ly_s
rum's	rum:rum_N 's:+GEN
ruminated	ruminat:ruminate_V ed:+PAST
rumpling	rumpl:rumple_V ing:+PCP1
sabah	sabah:Sabah_N
sackbuts	sackbut:sackbut_N s:+PL
safeguard	safe:safe_A guard:guard_N, safe:safe_A guard:guard_N
salad-dressings	salad:salad_N -:~ dressing:dressing_V s:+PL
saleroom	sale:sale_N room:room_N
sales	sale:sale_N s:+PL, sales:sales_N
salesclerk's	sales:sales_N clerk:clerk_N 's:+GEN
salon's	salon:salon_N 's:+GEN
salvoes	salvo:salvo_N es:+PL
samplers	sampl:sample_V er:er_s s:+PL
sanitaria	sanitaria:sanitarium_N ~:+PL
saturn's	saturn:Saturn_N 's:+GEN
saxons'	saxon:Saxon_N s:+PL ':+GEN
scallops	scallop:scallop_N s:+PL, scallop:scallop_N s:+3SG
scantier	scant:scant_A i:y_s er:+CMP
sceptics	sceptic:sceptic_N s:+PL
schedules	schedule:schedule_V s:+PL, schedule:schedule_V s:+3SG
schnitzels	schnitzel:schnitzel_N s:+PL
scholarly	schol:school_N ar:ar_s ly:ly_s
schoolgirls'	school:school_N girl:girl_N s:+PL ':+GEN
schoolmistress'	school:school_N mistress:mistress_N ':+GEN
scullion	scullion:scullion_N
se	se:SE
sea-legs	sea:sea_N -:~ legs:legs_N
sea-lion	sea:sea_N -:~ lion:lion_N
seaborne	sea:sea_N borne:borne_V
season's	season:season_N 's:+GEN
seasonings'	seasoning:seasoning_V s:+PL ':+GEN
secretarial	secretari:secretary_N al:al_s
sees'	see:see_N s:+PL ':+GEN
seize	seize:seize_V
self-will	self:self_p -:~ will:will_V
septembers	september:September_N s:+PL
sequel's	sequel:sequel_N 's:+GEN
serialize	seri:series_N al:al_s ize:ize_s
serially	seri:series_N al:al_s ly:ly_s
servers'	serv:serve_V er:er_s s:+PL ':+GEN
sevenths	seven:seven_Q th:th_s s:+PL
seychellois	seychellois:Seychellois_A, seychellois:Seychellois_A
sforzandi	sforzandi:sforzando_A ~:+PL
shallower	shallow:shallow_A er:+CMP
shank's	shank:shank_N 's:+GEN
sheilas	sheila:sheila_N s:+PL
shoestring's	shoe:shoe_N string:string_N 's:+GEN
shoplifters	shop:shop_N lift:lift_V er:er_s s:+PL
shoplifts	shop:shop_N lift:lift_V s:+3SG
short-circuit	short:short_A -:~ circuit:circuit_N, short:short_A -:~ circuit:circuit_N
showering	shower:shower_N ing:+PCP1
sideswipes	side:side_N swipe:swipe_V s:+PL, side:side_N swipe:swipe_V s:+3SG
sidings	siding:siding_V s:+PL
silents'	silent:silent_A s:+PL ':+GEN
silo	silo:silo_N
simulates	simulate:simulate_V s:+3SG
sinfully	sin:sin_V ful:ful_s ly:ly_s
sip	sip:sip_V, sip:sip_V
skied	ski:sky_N ed:+PAST
skimmed-milk	skimmed:skimmed_V -:~ milk:milk_N
skins'	skin:skin_N s:+PL ':+GEN
skulked	skulk:skulk_V ed:+PAST
slacking	slack:slack_A ing:+PCP1
sleazy	sleazy:sleazy_A
slices	slice:slice_V s:+PL, slice:slice_V s:+3SG
slickly	slick:slick_A ly:ly_s
slotted	slott:slot_N ed:+PAST
slough	slough:slough_N
sniffs	sniff:sniff_V s:+PL, sniff:sniff_V s:+3SG
snook's	snook:snook_N 's:+GEN
soap's	soap:soap_N 's:+GEN
solution's	sol:solve_V ution:ution_s 's:+GEN
sopping	sopp:sop_N ing:+PCP1, sopping:sopping_V, sopping:sopping_V
sou	sou:sou_N
speakerships	speak:speak_V er:er_s ship:ship_s s:+PL
speculated	speculat:speculate_V ed:+PAST
splashes	splash:splash_V es:+PL, splash:splash_V es:+3SG
spread	spread:spread_V, spread:spread_V
spreads	spread:spread_V s:+PL, spread:spread_V s:+3SG
squeaker	squeak:squeak_V er:er_s
squeakers	squeak:squeak_V er:er_s s:+PL
squints	squint:squint_V s:+PL, squint:squint_V s:+3SG
squinty	squint:squint_V y:y_s
stable	stable:stable_A, stable:stable_N, stable:stable_N
stage-whispers	stage:stage_N -:~ whisper:whisper_V s:+PL
stalwart	stalwart:stalwart_A, stalwart:stalwart_A
standpoint	stand:stand_V point:point_N
starkers	starkers:starkers_A
statements'	state:state_V ment:ment_s s:+PL ':+GEN
stationer	station:station_N er:er_s
statues'	statue:statue_N s:+PL ':+GEN
statuette	statu:statue_N ette:ette_s
steamship	steam:steam_N ship:ship_N
sterilizing	steril:sterile_A iz:ize_s ing:+PCP1
sterna	sterna:sternum_N ~:+PL
stewards	steward:steward_N s:+PL, steward:steward_N s:+3SG
stinting	stint:stint_V ing:+PCP1
stocking	stock:stock_V ing:+PCP1, stocking:stocking_N
storerooms	store:store_V room:room_N s:+PL
strangulation	strangul:strangle_V at:ate_s ion:ion_s
stream	stream:stream_N, stream:stream_N
strode	strode:stride_V ~:+PAST
strollers	stroll:stroll_V er:er_s s:+PL
sturdy	sturdy:sturdy_A
subsequently	sub:sub_p sequent:sequent_A ly:ly_s
suburbanite	sub:sub_p urban:urban_A ite:ite_s, suburb:suburb_N an:an_s ite:ite_s
sufficient	suffici:suffice_V ent:ent_s
suffixes	suffix:suffix_N es:+PL
sulphides	sulph:sulphur_N ide:ide_s s:+PL
summaries	summari:summary_A es:+PL
summarizing	summar:summary_A iz:ize_s ing:+PCP1
sun's	sun:sun_N 's:+GEN
sunroof	sun:sun_N roof:roof_N
sure	sure:sure_A, sure:sure_A
surgeon	surgeon:surgeon_N
surliest	surli:surly_A est:+SUP
sweet's	sweet:sweet_A 's:+GEN
switching	switch:switch_N ing:+PCP1
taboos'	taboo:taboo_N s:+PL ':+GEN
tackles	tackle:tackle_N s:+PL, tackle:tackle_N s:+3SG
tallying	tally:tally_N ing:+PCP1
tamped	tamp:tamp_V ed:+PAST
tangible	tangible:tangible_A
tangs	tang:tang_N s:+PL
tarrying	tarry:tarry_V ing:+PCP1
taster	tast:taste_V er:er_s
tatters	tatt:tat_V er:er_s s:+PL, tatters:tatters_N
tattlers	tattl:tattle_V er:er_s s:+PL
taunts	taunt:taunt_N s:+PL, taunt:taunt_N s:+3SG
taxiing	taxi:taxi_N ing:+PCP1
teasel	teasel:teasel_N
ted's	ted:teddy_N ~:boy_N 's:+GEN
telegraph	tele:tele_p graph:graph_s, tele:tele_p graph:graph_s
temper	temper:temper_V, temper:temper_V
temporizing	temporiz:temporize_V ing:+PCP1
tempter	tempt:tempt_V er:er_s
tenable	tenable:tenable_A
tenor's	tenor:tenor_N 's:+GEN
terrified	terr:terror_N ifi:ify_s ed:+PAST
test's	test:test_N 's:+GEN
tests	test:test_N s:+PL, test:test_N s:+3SG
tete-a-tete	tete-a-tete:tete-a-tete_N, tete-a-tete:tete-a-tete_N
thanksgivings	thanks:thanks_N giving:giving_V s:+PL, thanks:thanks_N giving:giving_V ~:day_N s:+PL
thematic	them:theme_N atic:atic_s
theodolite	theodolite:theodolite_N
threshing	thresh:thresh_V ing:+PCP1
throwaways	throw:throw_V a:a_p way:way_N s:+PL
tie-on	tie:tie_V -:~ on:on_P
timpanist	timpan:timpani_N ist:ist_s
tiredness	tired:tired_V ness:ness_s
toes	toe:toe_N s:+PL
toilers	toil:toil_V er:er_s s:+PL
tomatoes'	tomato:tomato_N es:+PL ':+GEN
toothaches	tooth:tooth_N ache:ache_V s:+PL
toothy	tooth:tooth_N y:y_s
topazes	topaz:topaz_N es:+PL
tornados	tornado:tornado_N s:+PL
torpedos	torpedo:torpedo_N s:+3SG
torturers	tortur:torture_N er:er_s s:+PL
tournaments'	tournament:tournament_N s:+PL ':+GEN
touted	tout:tout_V ed:+PAST
tow's	tow:tow_V 's:+GEN
toward	to:to_P ward:ward_s
towelling	towell:towel_N ing:+PCP1, towelling:towelling_V
tract	tract:tract_N
trafficked	traffick:traffic_V ed:+PAST
tramples	tramp:tramp_V le:le_s s:+PL, tramp:tramp_V le:le_s s:+3SG
transcendency	transcend:transcend_V ~:ent_s ency:ency_s
transmogrification	transmogrific:transmogrify_V ation:ation_s
trashiness	trash:trash_N i:y_s ness:ness_s
treasure	treasure:treasure_N, treasure:treasure_N
trellising	trellis:trellis_N ing:+PCP1
trendiness'	trend:trend_V i:y_s ness:ness_s ':+GEN
trestle-tables	trestle:trestle_N -:~ table:table_N s:+PL
triads	triad:triad_N s:+PL
tribunal's	tribun:tribune_N al:al_s 's:+GEN
triplex's	triplex:Triplex_N 's:+GEN
triumvirate	triumvir:triumvir_N ate:ate_s
truce	truce:truce_N
truck	truck:truck_N
trumpeters	trump:trump_N et:et_s er:er_s s:+PL
tugboats	tug:tug_N boat:boat_N s:+PL
tureen	tureen:tureen_N
turncoats	turn:turn_V coat:coat_N s:+PL
twangs	twang:twang_V s:+PL, twang:twang_V s:+3SG
twin's	twin:twin_N 's:+GEN
twine's	twine:twine_N 's:+GEN
twits	twit:twit_V s:+PL, twit:twit_V s:+3SG
two-ply	two:two_Q -:~ ply:ply_N, two:two_Q -:~ ply:ply_N
two-way	two:two_Q -:~ way:way_N
unabridged	un:un_p abridged:abridged_V
unadopted	un:un_p adopted:adopted_V
underage	under:under_p age:age_N
undergrad	under:under_P grad:graduate_V
undertaking's	undertaking:undertaking_V 's:+GEN
undies	undies:undies_N
unequivocally	un:un_p equivocal:equivocal_A ly:ly_s
unheard	un:un_p heard:heard_V
unhooks	un:un_p hook:hook_N s:+3SG
unreserved	un:un_p reserved:reserved_V
unseeingly	un:un_p seeing:seeing_V ly:ly_s
upstairs	up:up_B stairs:stairs_N, up:up_B stairs:stairs_N, up:up_B stairs:stairs_N
urchins	urchin:urchin_N s:+PL
vacillation	vacillat:vacillate_V ion:ion_s
vassals	vassal:vassal_N s:+PL
vaudeville	vaudeville:vaudeville_N
ventriloquists	ventriloqu:ventriloquism_N ist:ist_s s:+PL
venue	venue:venue_N
versification	vers:verse_N ific:ify_s ation:ation_s
viceregal	vice:vice_p regal:regal_A
vicunas	vicuna:vicuna_N s:+PL
vineyard	vine:vine_N yard:yard_N
volunteer's	volunteer:volunteer_V 's:+GEN
voteless	vote:vote_N less:less_s
vouchsafed	vouch:vouch_for_V saf:safe_A ed:+PAST
vulgarized	vulgar:vulgar_A iz:ize_s ed:+PAST
waistbands	waist:waist_N band:band_N s:+PL
waistcoats	waist:waist_N coat:coat_N s:+PL
walk-up	walk:walk_V -:~ up:up_B, walk:walk_V -:~ up:up_B
want-ad	want:want_V -:~ ad:advertise_V ~:ment_s
warders	ward:ward_N er:er_s s:+PL
warming	warm:warm_A ing:+PCP1
washstands	wash:wash_V stand:stand_V s:+PL
watch-chains	watch:watch_V -:~ chain:chain_N s:+PL
watercourses	water:water_N course:course_N s:+PL
waxwork	wax:wax_N work:work_V
wearers	wear:wear_V er:er_s s:+PL
welshing	welsh:welsh_V ing:+PCP1
whiners'	whin:whine_V er:er_s s:+PL ':+GEN
whipping	whipp:whip_N ing:+PCP1, whipping:whipping_V
whispers	whisper:whisper_V s:+PL, whisper:whisper_V s:+3SG
whoops	whoop:whoop_N s:+PL, whoop:whoop_N s:+3SG
wiltons	wilton:Wilton_N s:+PL
winced	winc:wince_V ed:+PAST
winner	winn:win_V er:er_s
wipes	wipe:wipe_V s:+PL, wipe:wipe_V s:+3SG
wisdom	wis:wise_A dom:dom_s
withhold	with:with_p hold:hold_V
witlessness	wit:wit_N less:less_s ness:ness_s
witnessing	witness:witness_N ing:+PCP1
wombs	womb:womb_N s:+PL
worship	worship:Worship_N, worship:worship_N, worship:worship_N
worshipper	worshipp:worship_N er:er_s
wreaking	wreak:wreak_V ing:+PCP1
yetis	yeti:yeti_N s:+PL
yowling	yowl:yowl_V ing:+PCP1
zany's	zany:zany_A 's:+GEN
zeniths	zenith:zenith_N s:+PL
zodiac	zodiac:zodiac_N
zombie's	zombie:zombie_N 's:+GEN
hopeless	hope:hope less:less
equality	equal:equal ity:ity
falling	fall:fall ing:ing
fortitude	forti:forti tude:tude
played	play:play ed:ed
girls	girl:girl s:s
multithreading	multi:multi thread:thread ing:ing
oven	oven:oven
dishonored	dis:dis honor:honor ed:ed
stars	star:star s:s
statement	state:state ment:ment
specialist	special:special ist:ist
waterproof	water:water proof:proof
languages	language:language s:s
recall	re:re call:call
building	build:build ing:ing
overfitting	over:over fitt:fitt ing:ing
reasonable	reason:reason able:able
glasses	glass:glass es:es
teacher	teach:teach er:er
brilliant	brill:brill i:i ant:ant
balls	ball:ball s:s
crawler	crawl:crawl er:er
blackboards	black:black board:board s:s
misclassify	mis:mis class:class ify:ify
painting	paint:paint ing:ing
coding	cod:cod ing:ing
processing	process:process ing:ing
fishes	fish:fish es:es
leaving	leav:leav ing:ing
government	govern:govern ment:ment
nevertheless	never:never the:the less:less
qualify	qualif:qualif y:y
endangered	en:en danger:danger ed:ed
highway	high:high way:way
harmless	harm:harm less:less
eyebrows	eye:eye brow:brow s:s
ecosystem	eco:eco system:system
infrequently	in:in frequent:frequent ly:ly
representative	re:re present:present ative:ative
loneliness	lonel:lonel iness:iness
sunset	sun:sun set:set
measurement	measure:measure ment:ment
bankrupcy	bank:bank rupcy:rupcy
themselves	them:them sel:sel ves:ves
effectiveness	effect:effect ive:ive ness:ness
quote	quot:quot e:e
healthy	health:health y:y
intolerable	in:in tolera:tolera ble:ble
searching	search:search ing:ing
upstream	up:up stream:stream
beforehand	before:before hand:hand
afterhours	after:after hour:hour s:s
impatience	im:im patience:patience
earthquakes	earth:earth quake:quake s:s
accompanying	ac:ac company:company ing:ing
biodiversity	bio:bio divers:divers ity:ity
disappointment	dis:dis appoint:appoint ment:ment
clothing	cloth:cloth ing:ing
godspeed	god:god speed:speed
greatness	great:great ness:ness
submit	sub:sub mit:mit
asynchronized	a:a syn:syn chron:chron ize:ize d:d
laziness	lazi:lazi ness:ness
namely	name:name ly:ly
doubts	doubt:doubt s:s
lust	lust:lust
stargazing	star:star gaz:gaz ing:ing
dishes	dish:dish es:es
commercial	commerci:commerci al:al
soaking	soak:soak ing:ing
circumnavigate	circum:circum navigate:navigate
doable	do:do able:able
shopping	shopp:shopp ing:ing
entanglement	entangle:entangle ment:ment
introversion	intro:intro version:version
separation	separ:separ ation:ation
sparsity	spars:spars ity:ity
tingling	tingl:tingl ing:ing
multiset	multi:multi set:set
torque	torque:torque
sunny	sunn:sunn y:y
sparse	sparse:sparse
neverending	never:never end:end ing:ing
printable	print:print able:able
relentlessness	relent:relent less:less ness:ness
ambitious	ambit:ambit ious:ious
edible	ed:ed ible:ible
misled	mis:mis led:led
alpha	alpha:alpha
agon	agon:agon
meaningless	mean:mean ing:ing less:less
morphallaxis	morph:morph allax:allax is:is
alma	alma:alma
seller	sell:sell er:er
undo	un:un do:do
disagreement	dis:dis agree:agree ment:ment
brightem	bright:bright em:em
allele	allel:allel e:e
alphabet	alpha:alpha bet:bet
icecream	ice:ice cream:cream
cranberry	cran:cran berry:berry
able	able:able
plays	play:play s:s
raspberry	rasp:rasp berry:berry
allegory	all:all ego:ego ry:ry
happier	happi:happi er:er
cheap	cheap:cheap
cheaper	cheap:cheap er:er
cheaply	cheap:cheap ly:ly
allelomorph	allel:allel o:o morph:morph
buyers	buy:buy er:er s:s
unable	un:un able:able
agonize	agon:agon ize:ize
happiest	happi:happi est:est
friendship	friend:friend ship:ship
agony	agon:agon y:y
sleeper	sleep:sleep er:er
foreshadow	fore:fore shadow:shadow
violinist	violin:violin ist:ist
painter	paint:paint er:er
semiconductor	semi:semi conduct:conduct or:or
misconception	mis:mis concept:concept ion:ion
reform	re:re form:form
pentagram	penta:penta gram:gram
indigestion	in:in digest:digest ion:ion
householders	house:house hold:hold er:er s:s
underscore	under:under score:score
rivalry	rival:rival ry:ry
bestir	be:be stir:stir
discoverable	dis:dis cover:cover able:able
incredible	in:in cred:cred ible:ible
stylist	styl:styl ist:ist
impatiently	im:im patient:patient ly:ly
motivate	motiv:motiv ate:ate
nationhood	nation:nation hood:hood
deployment	deploy:deploy ment:ment
cowardly	coward:coward ly:ly
employee	employ:employ ee:ee
enjoyment	enjoy:enjoy ment:ment
legalize	legal:legal ize:ize
disapproval	dis:dis approv:approv al:al
reachable	reach:reach able:able
duckling	duck:duck ling:ling
playful	play:play ful:ful
fashionable	fashion:fashion able:able
elevator	elevat:elevat or:or
reference	refer:refer ence:ence
notable	not:not able:able
telescope	tele:tele scope:scope
dancing	danc:danc ing:ing
antiracism	anti:anti rac:rac ism:ism
payments	pay:pay ment:ment s:s
transcontinental	trans:trans continent:continent al:al
best	best:best
press	press:press
companionship	companion:companion ship:ship
rewind	re:re wind:wind
illogical	il:il logic:logic al:al
triangles	tri:tri angle:angle s:s
prepare	pre:pre pare:pare
benefit	bene:bene fit:fit
intraverbal	intra:intra verb:verb al:al
pleasure	pleas:pleas ure:ure
actions	act:act ion:ion s:s
mountaineer	mountain:mountain eer:eer
fullback	full:full back:back
fields	field:field s:s
corner	corner:corner
midfielders	mid:mid field:field er:er s:s
inject	in:in ject:ject
mistreat	mis:mis treat:treat
hardest	hard:hard est:est
alligators	alligator:alligator s:s
overdeveloped	over:over develop:develop ed:ed
midnight	mid:mid night:night
granary	gran:gran ary:ary
kinder	kind:kind er:er
embark	em:em bark:bark
solitude	soli:soli tude:tude
smartphone	smart:smart phone:phone
striker	strik:strik er:er
shiny	shin:shin y:y
disrespectful	dis:dis respect:respect ful:ful
counterclockwise	counter:counter clock:clock wise:wise
exceptional	ex:ex cept:cept ion:ion al:al
return	re:re turn:turn
dislocation	dis:dis loca:loca tion:tion
biped	bi:bi ped:ped
mortal	mort:mort al:al
childhood	child:child hood:hood
mutant	mut:mut ant:ant
multicolored	multi:multi color:color ed:ed
dehydration	de:de hydr:hydr at:at ion:ion
trained	train:train ed:ed
finder	find:find er:er
shaped	shap:shap ed:ed
legality	legal:legal ity:ity
journals	journal:journal s:s
setup	set:set up:up
mountable	mount:mount able:able
focused	focus:focus ed:ed
lettered	letter:letter ed:ed
tractable	tract:tract able:able
mouses	mouse:mouse s:s
eated	eat:eat ed:ed
moralist	moral:moral ist:ist
microphone	micro:micro phone:phone
serving	serv:serv ing:ing
leaped	leap:leap ed:ed
shearer	shear:shear er:er
seadog	sea:sea dog:dog
lemures	lemure:lemure s:s
shafts	shaft:shaft s:s
later	lat:lat er:er
traded	trad:trad ed:ed
tested	test:test ed:ed
learning	learn:learn ing:ing
trailer	trail:trail er:er
tracked	track:track ed:ed
unmount	un:un mount:mount
moulded	mould:mould ed:ed
leader	lead:lead er:er
sexist	sex:sex ist:ist
blender	blend:blend er:er
queens	queen:queen s:s
honey	honey:honey
names	name:name s:s
dog	dog:dog
cat	cat:cat
cars	car:car s:s
blending	blend:blend ing:ing
rabbit	rabbit:rabbit
blended	blend:blend ed:ed
followed	follow:follow ed:ed
bended	bend:bend ed:ed
tastes	taste:taste s:s
king	king:king
queen	queen:queen
taste	taste:taste
follow	follow:follow
tasting	tast:tast ing:ing
rabbits	rabbit:rabbit s:s
blend	blend:blend
follower	follow:follow er:er
bender	bend:bend er:er
car	car:car
tasted	tast:tast ed:ed
bend	bend:bend
named	nam:nam ed:ed
kings	king:king s:s
dogs	dog:dog s:s
name	name:name
cats	cat:cat s:s
beautiful	beauti:beauti ful:ful
snowboarder	snow:snow board:board er:er
kneepads	knee:knee pad:pad s:s
basketball	basket:basket ball:ball
baseball	base:base ball:ball
backboard	back:back board:board
cardiovascular	cardio:cardio vascul:vascul ar:ar
competitor	compet:compet itor:itor
snorkeling	snorke:snorke ling:ling
goalkeeper	goal:goal keep:keep er:er
bodybuilders	body:body build:build er:er s:s
unicyclist	uni:uni cycl:cycl ist:ist
teammate	team:team mate:mate
backhand	back:back hand:hand
curling	curl:curl ing:ing
championship	champion:champion ship:ship
equipment	equip:equip ment:ment
canoeing	canoe:canoe ing:ing
deadlifting	dead:dead lift:lift ing:ing
surfer	surf:surf er:er
movement	move:move ment:ment
uniform	uni:uni form:form
boxer	box:box er:er
weightlifting	weight:weight lift:lift ing:ing
armlock	arm:arm lock:lock
quarterback	quart:quart er:er back:back
footballers	foot:foot ball:ball er:er s:s
scoreboard	score:score board:board
wrestling	wrestl:wrestl ing:ing
mouthguard	mouth:mouth guard:guard
doubleheader	double:double head:head er:er
geography	geo:geo graph:graph y:y
irresistible	ir:ir resist:resist ible:ible
calligraphy	calli:calli graph:graph y:y
misinterpret	mis:mis interpret:interpret
despicable	despic:despic able:able
qualifier	qualifi:qualifi er:er
